id_usuario,nombres,apellidos,tipo_documento,numero_documento,correo,telefono,celular,estado_usuario,id_rol,id_detalle_residente,propietario,apartamento,torre,residente_activo,id_reserva,hora_inicio,hora_fin,estado_reserva,fecha_uso,observacion_reserva,forma_pago,valor_pago,placa,tipo_vehiculo,vehiculo_activo,documentos_vehiculo,id_parqueadero,numero_parqueadero,comunal,estado_parqueadero,id_sorteo,tipo_residente_propietario,fecha_inicio_sorteo,hora_sorteo,estado_sorteo,id_correspondencia,tipo_correspondencia,descripcion_correspondencia,fecha_registro,id_paquete,torre_paquete,apartamento_paquete,descripcion_paquete,fecha_recepcion,fecha_entrega,id_novedad,descripcion_novedad,fecha_novedad,observacion_extra1,observacion_extra2
11,Sofía,García,CC,1637206,sofía.garcía@mail.com,3337289173,3164587292,Activo,3,11,False,441,5,False,11,22:00:34,00:00:34,Aprobada,2025-12-02,Observación ejemplo,Transferencia,154137.1,ABC813,Moto,False,True,11,33,True,False,11,True,2025-11-26,22:00:34,True,11,Recibo,Descripción ejemplo,2025-10-22 22:00:34.006883,11,10,393,Paquete ejemplo,2025-11-13 22:00:34.006885,2025-11-17 22:00:34.006885,11,Novedad ejemplo,2025-11-16 22:00:34.006888,Obs extra 1,Obs extra 2
12,María,Vargas,CE,7534165,maría.vargas@mail.com,3943639693,3311334398,Inactivo,1,12,False,394,3,True,12,22:00:34,00:00:34,Aprobada,2025-12-12,Observación ejemplo,Transferencia,359232.08,GHI942,Moto,False,False,12,99,True,True,12,True,2026-01-08,22:00:34,True,12,Recibo,Descripción ejemplo,2025-11-03 22:00:34.006920,12,5,130,Paquete ejemplo,2025-11-12 22:00:34.006922,2025-11-13 22:00:34.006922,12,Novedad ejemplo,2025-11-13 22:00:34.006925,Obs extra 1,Obs extra 2
13,Carlos,Ramírez,TI,7221279,carlos.ramírez@mail.com,3479844150,3602070936,Inactivo,2,13,True,305,6,True,13,22:00:34,00:00:34,En espera,2025-11-27,Observación ejemplo,Efectivo,231738.19,XYZ953,Carro,True,True,13,97,False,True,13,True,2026-01-01,22:00:34,True,13,Recibo,Descripción ejemplo,2025-11-04 22:00:34.006954,13,19,322,Paquete ejemplo,2025-11-19 22:00:34.006956,2025-11-20 22:00:34.006956,13,Novedad ejemplo,2025-11-07 22:00:34.006960,Obs extra 1,Obs extra 2
14,Sofía,Pérez,CC,6735884,sofía.pérez@mail.com,3887139342,3944666238,Activo,3,14,True,210,18,False,14,22:00:34,00:00:34,En espera,2025-12-15,Observación ejemplo,Efectivo,147734.88,ABC789,Carro,False,False,14,97,False,False,14,False,2025-12-13,22:00:34,False,14,Recibo,Descripción ejemplo,2025-10-30 22:00:34.006991,14,13,140,Paquete ejemplo,2025-11-16 22:00:34.006993,2025-11-19 22:00:34.006993,14,Novedad ejemplo,2025-11-16 22:00:34.006996,Obs extra 1,Obs extra 2
15,Sofía,López,TI,2236435,sofía.lópez@mail.com,3630494169,3777879052,Inactivo,1,15,False,170,13,True,15,22:00:34,00:00:34,En espera,2025-12-18,Observación ejemplo,Efectivo,162594.37,XYZ711,Moto,True,True,15,55,True,True,15,True,2026-01-10,22:00:34,True,15,Recibo,Descripción ejemplo,2025-10-29 22:00:34.007026,15,7,254,Paquete ejemplo,2025-11-19 22:00:34.007028,2025-11-24 22:00:34.007028,15,Novedad ejemplo,2025-11-20 22:00:34.007031,Obs extra 1,Obs extra 2
16,Diego,Gómez,CE,5287072,diego.gómez@mail.com,3987459276,3723059225,Activo,3,16,True,402,1,True,16,22:00:34,00:00:34,Aprobada,2025-12-13,Observación ejemplo,Efectivo,151079.25,GHI423,Moto,True,False,16,29,False,False,16,,2025-11-26,22:00:34,False,16,Recibo,Descripción ejemplo,2025-10-21 22:00:34.007061,16,19,159,Paquete ejemplo,2025-11-10 22:00:34.007063,2025-11-13 22:00:34.007063,16,Novedad ejemplo,2025-11-13 22:00:34.007066,Obs extra 1,Obs extra 2
17,Laura,Torres,CE,3774166,laura.torres@mail.com,3375683575,3522083839,Inactivo,3,17,True,434,14,True,17,22:00:34,00:00:34,Aprobada,2025-11-27,Observación ejemplo,Transferencia,433657.83,ABC474,Moto,True,True,17,22,False,True,17,True,2025-12-24,22:00:34,True,17,Recibo,Descripción ejemplo,2025-11-04 22:00:34.007126,17,14,477,Paquete ejemplo,2025-11-19 22:00:34.007129,2025-11-22 22:00:34.007129,17,Novedad ejemplo,2025-11-16 22:00:34.007132,Obs extra 1,Obs extra 2
18,Diego,García,TI,4166669,diego.garcía@mail.com,3583226972,3328621713,Inactivo,3,18,False,340,1,True,18,22:00:34,00:00:34,En espera,2025-12-11,Observación ejemplo,Transferencia,156967.3,ABC810,Moto,True,False,18,31,True,True,18,False,2025-12-28,22:00:34,False,18,Recibo,Descripción ejemplo,2025-11-07 22:00:34.007163,18,16,436,Paquete ejemplo,2025-11-17 22:00:34.007165,2025-11-21 22:00:34.007165,18,Novedad ejemplo,2025-11-07 22:00:34.007168,Obs extra 1,Obs extra 2
19,Diego,Pérez,Pasaporte,7433581,diego.pérez@mail.com,3122234872,3827915391,Activo,1,19,False,291,4,True,19,22:00:34,00:00:34,Rechazada,2025-12-01,Observación ejemplo,Efectivo,430407.06,XYZ826,Carro,True,False,19,45,True,False,19,False,2025-12-14,22:00:34,True,19,Recibo,Descripción ejemplo,2025-10-24 22:00:34.007201,19,12,288,Paquete ejemplo,2025-11-13 22:00:34.007208,2025-11-17 22:00:34.007208,19,Novedad ejemplo,2025-11-12 22:00:34.007214,Obs extra 1,Obs extra 2
20,Sofía,Torres,CE,6340163,sofía.torres@mail.com,3612507131,3876816620,Inactivo,2,20,False,498,1,True,20,22:00:34,00:00:34,En espera,2025-12-10,Observación ejemplo,Transferencia,125391.93,ABC515,Moto,False,True,20,100,True,True,20,True,2025-11-21,22:00:34,True,20,Recibo,Descripción ejemplo,2025-11-18 22:00:34.007274,20,17,348,Paquete ejemplo,2025-11-12 22:00:34.007277,2025-11-13 22:00:34.007277,20,Novedad ejemplo,2025-11-20 22:00:34.007280,Obs extra 1,Obs extra 2
21,Diego,Rodríguez,Pasaporte,9009367,diego.rodríguez@mail.com,3737932655,3629582649,Inactivo,1,21,False,189,14,True,21,22:00:34,00:00:34,Rechazada,2025-12-17,Observación ejemplo,Transferencia,57442.02,XYZ932,Carro,False,False,21,18,False,True,21,True,2025-12-25,22:00:34,False,21,Recibo,Descripción ejemplo,2025-11-06 22:00:34.007313,21,5,188,Paquete ejemplo,2025-11-10 22:00:34.007314,2025-11-14 22:00:34.007314,21,Novedad ejemplo,2025-11-19 22:00:34.007318,Obs extra 1,Obs extra 2
22,Pedro,Pérez,CE,1608625,pedro.pérez@mail.com,3617015922,3438965750,Inactivo,2,22,False,470,1,True,22,22:00:34,00:00:34,Rechazada,2025-11-21,Observación ejemplo,Efectivo,211060.45,DEF613,Carro,False,True,22,90,True,True,22,,2025-12-31,22:00:34,True,22,Recibo,Descripción ejemplo,2025-10-30 22:00:34.007348,22,10,234,Paquete ejemplo,2025-11-19 22:00:34.007350,2025-11-21 22:00:34.007350,22,Novedad ejemplo,2025-11-05 22:00:34.007353,Obs extra 1,Obs extra 2
23,Pedro,Rodríguez,Pasaporte,3300627,pedro.rodríguez@mail.com,3332038189,3882828882,Activo,2,23,False,121,13,True,23,22:00:34,00:00:34,En espera,2025-12-09,Observación ejemplo,Transferencia,421287.91,XYZ955,Carro,True,False,23,51,True,False,23,True,2026-01-18,22:00:34,True,23,Recibo,Descripción ejemplo,2025-11-08 22:00:34.007383,23,16,137,Paquete ejemplo,2025-11-16 22:00:34.007385,2025-11-17 22:00:34.007385,23,Novedad ejemplo,2025-11-12 22:00:34.007388,Obs extra 1,Obs extra 2
24,Valentina,García,Pasaporte,2057266,valentina.garcía@mail.com,3230086671,3145398031,Activo,2,24,True,449,18,True,24,22:00:34,00:00:34,En espera,2025-12-03,Observación ejemplo,Efectivo,187666.51,ABC997,Carro,False,False,24,91,False,True,24,,2026-01-13,22:00:34,False,24,Recibo,Descripción ejemplo,2025-10-21 22:00:34.007423,24,10,170,Paquete ejemplo,2025-11-14 22:00:34.007426,2025-11-18 22:00:34.007426,24,Novedad ejemplo,2025-11-16 22:00:34.007433,Obs extra 1,Obs extra 2
25,Juan,Rodríguez,CC,7464153,juan.rodríguez@mail.com,3865885832,3700814261,Activo,2,25,False,219,7,False,25,22:00:34,00:00:34,Rechazada,2025-12-14,Observación ejemplo,Efectivo,285519.34,DEF312,Moto,False,False,25,94,False,False,25,False,2025-12-03,22:00:34,False,25,Recibo,Descripción ejemplo,2025-11-17 22:00:34.007492,25,7,123,Paquete ejemplo,2025-11-10 22:00:34.007496,2025-11-13 22:00:34.007496,25,Novedad ejemplo,2025-11-08 22:00:34.007502,Obs extra 1,Obs extra 2
26,Carlos,Gómez,CC,4035146,carlos.gómez@mail.com,3169288998,3749684315,Inactivo,3,26,False,484,19,False,26,22:00:34,00:00:34,En espera,2025-12-08,Observación ejemplo,Transferencia,399868.88,ABC155,Carro,True,True,26,70,False,False,26,True,2025-12-27,22:00:34,True,26,Recibo,Descripción ejemplo,2025-10-26 22:00:34.007550,26,9,169,Paquete ejemplo,2025-11-12 22:00:34.007552,2025-11-13 22:00:34.007552,26,Novedad ejemplo,2025-11-12 22:00:34.007556,Obs extra 1,Obs extra 2
27,Ana,Rodríguez,TI,1439622,ana.rodríguez@mail.com,3505665315,3251226645,Activo,2,27,False,433,19,True,27,22:00:34,00:00:34,Rechazada,2025-12-06,Observación ejemplo,Transferencia,86860.87,ABC896,Carro,True,True,27,39,False,True,27,True,2026-01-10,22:00:34,False,27,Recibo,Descripción ejemplo,2025-11-13 22:00:34.007615,27,17,390,Paquete ejemplo,2025-11-14 22:00:34.007619,2025-11-16 22:00:34.007619,27,Novedad ejemplo,2025-11-12 22:00:34.007623,Obs extra 1,Obs extra 2
28,Juan,Pérez,TI,2027601,juan.pérez@mail.com,3610170042,3534674557,Inactivo,3,28,True,445,2,True,28,22:00:34,00:00:34,Aprobada,2025-12-05,Observación ejemplo,Efectivo,66350.17,GHI653,Moto,False,False,28,74,True,False,28,False,2025-12-12,22:00:34,True,28,Recibo,Descripción ejemplo,2025-10-27 22:00:34.007690,28,11,122,Paquete ejemplo,2025-11-12 22:00:34.007694,2025-11-13 22:00:34.007694,28,Novedad ejemplo,2025-11-15 22:00:34.007699,Obs extra 1,Obs extra 2
29,Ana,Vargas,CE,7849299,ana.vargas@mail.com,3840137520,3847475953,Inactivo,3,29,False,416,19,False,29,22:00:34,00:00:34,En espera,2025-11-21,Observación ejemplo,Efectivo,358476.32,GHI896,Carro,True,False,29,64,True,True,29,,2025-11-24,22:00:34,False,29,Recibo,Descripción ejemplo,2025-11-10 22:00:34.007745,29,20,367,Paquete ejemplo,2025-11-16 22:00:34.007748,2025-11-19 22:00:34.007748,29,Novedad ejemplo,2025-11-05 22:00:34.007753,Obs extra 1,Obs extra 2
30,Ana,López,CC,2013093,ana.lópez@mail.com,3346877568,3169097765,Inactivo,2,30,False,287,5,False,30,22:00:34,00:00:34,En espera,2025-12-07,Observación ejemplo,Efectivo,475913.93,GHI218,Carro,False,True,30,95,True,True,30,False,2025-12-02,22:00:34,True,30,Recibo,Descripción ejemplo,2025-10-24 22:00:34.007796,30,8,128,Paquete ejemplo,2025-11-11 22:00:34.007802,2025-11-15 22:00:34.007802,30,Novedad ejemplo,2025-11-13 22:00:34.007806,Obs extra 1,Obs extra 2
31,Luis,Martínez,CC,2542052,luis.martínez@mail.com,3639791655,3911592269,Inactivo,3,31,True,229,10,True,31,22:00:34,00:00:34,Aprobada,2025-12-15,Observación ejemplo,Transferencia,67896.58,XYZ645,Carro,True,False,31,13,True,True,31,False,2025-11-22,22:00:34,True,31,Recibo,Descripción ejemplo,2025-10-26 22:00:34.007850,31,4,266,Paquete ejemplo,2025-11-11 22:00:34.007853,2025-11-14 22:00:34.007853,31,Novedad ejemplo,2025-11-12 22:00:34.007857,Obs extra 1,Obs extra 2
32,Juan,Martínez,CE,5625606,juan.martínez@mail.com,3874137685,3532090366,Inactivo,3,32,True,137,6,True,32,22:00:34,00:00:34,Aprobada,2025-12-11,Observación ejemplo,Efectivo,274927.34,ABC262,Carro,False,True,32,84,True,False,32,True,2025-12-23,22:00:34,False,32,Recibo,Descripción ejemplo,2025-11-05 22:00:34.007901,32,3,127,Paquete ejemplo,2025-11-13 22:00:34.007904,2025-11-16 22:00:34.007904,32,Novedad ejemplo,2025-11-17 22:00:34.007911,Obs extra 1,Obs extra 2
33,Luis,Martínez,CE,4477315,luis.martínez@mail.com,3696839910,3300227332,Inactivo,1,33,True,400,1,True,33,22:00:34,00:00:34,Aprobada,2025-12-08,Observación ejemplo,Efectivo,253793.94,DEF344,Moto,True,False,33,38,True,False,33,True,2025-12-11,22:00:34,False,33,Recibo,Descripción ejemplo,2025-11-11 22:00:34.007955,33,5,234,Paquete ejemplo,2025-11-15 22:00:34.007958,2025-11-20 22:00:34.007958,33,Novedad ejemplo,2025-11-15 22:00:34.007962,Obs extra 1,Obs extra 2
34,Valentina,Vargas,CC,3019813,valentina.vargas@mail.com,3236800756,3884475977,Inactivo,3,34,False,390,8,True,34,22:00:34,00:00:34,En espera,2025-12-15,Observación ejemplo,Transferencia,393406.72,DEF500,Moto,True,True,34,8,True,True,34,False,2025-11-21,22:00:34,True,34,Recibo,Descripción ejemplo,2025-11-04 22:00:34.008005,34,20,102,Paquete ejemplo,2025-11-13 22:00:34.008009,2025-11-15 22:00:34.008009,34,Novedad ejemplo,2025-11-08 22:00:34.008015,Obs extra 1,Obs extra 2
35,Juan,Martínez,CE,8468797,juan.martínez@mail.com,3524783903,3965874250,Inactivo,2,35,True,208,4,False,35,22:00:34,00:00:34,Aprobada,2025-11-23,Observación ejemplo,Transferencia,180714.2,XYZ733,Moto,False,False,35,28,True,True,35,False,2025-12-26,22:00:34,True,35,Recibo,Descripción ejemplo,2025-11-18 22:00:34.008074,35,8,134,Paquete ejemplo,2025-11-17 22:00:34.008077,2025-11-21 22:00:34.008077,35,Novedad ejemplo,2025-11-07 22:00:34.008084,Obs extra 1,Obs extra 2
36,Juan,Vargas,CE,6141465,juan.vargas@mail.com,3796929566,3955805430,Inactivo,1,36,False,421,6,True,36,22:00:34,00:00:34,Rechazada,2025-11-21,Observación ejemplo,Transferencia,119907.09,XYZ447,Carro,True,True,36,25,False,False,36,True,2025-12-13,22:00:34,True,36,Recibo,Descripción ejemplo,2025-10-26 22:00:34.008146,36,19,480,Paquete ejemplo,2025-11-10 22:00:34.008150,2025-11-13 22:00:34.008150,36,Novedad ejemplo,2025-11-11 22:00:34.008156,Obs extra 1,Obs extra 2
37,Luis,Hernández,CC,7941830,luis.hernández@mail.com,3820613246,3905499809,Activo,3,37,True,399,9,True,37,22:00:34,00:00:34,Aprobada,2025-11-24,Observación ejemplo,Transferencia,440534.46,XYZ236,Carro,True,False,37,21,True,True,37,False,2026-01-14,22:00:34,False,37,Recibo,Descripción ejemplo,2025-11-05 22:00:34.008215,37,20,245,Paquete ejemplo,2025-11-11 22:00:34.008219,2025-11-12 22:00:34.008219,37,Novedad ejemplo,2025-11-13 22:00:34.008224,Obs extra 1,Obs extra 2
38,Ana,Rodríguez,Pasaporte,8215814,ana.rodríguez@mail.com,3793790861,3858359325,Inactivo,1,38,False,420,9,False,38,22:00:34,00:00:34,Rechazada,2025-12-02,Observación ejemplo,Efectivo,249762.0,ABC572,Moto,True,True,38,100,True,False,38,True,2026-01-07,22:00:34,False,38,Recibo,Descripción ejemplo,2025-11-02 22:00:34.008315,38,9,129,Paquete ejemplo,2025-11-18 22:00:34.008319,2025-11-23 22:00:34.008319,38,Novedad ejemplo,2025-11-19 22:00:34.008324,Obs extra 1,Obs extra 2
39,Sofía,Ramírez,CE,8229746,sofía.ramírez@mail.com,3831484723,3644023777,Inactivo,2,39,False,352,20,False,39,22:00:34,00:00:34,Rechazada,2025-11-23,Observación ejemplo,Transferencia,349705.99,GHI862,Moto,True,True,39,56,False,False,39,,2026-01-03,22:00:34,False,39,Recibo,Descripción ejemplo,2025-11-14 22:00:34.008380,39,18,180,Paquete ejemplo,2025-11-10 22:00:34.008382,2025-11-12 22:00:34.008382,39,Novedad ejemplo,2025-11-17 22:00:34.008385,Obs extra 1,Obs extra 2
40,María,Torres,CC,5277097,maría.torres@mail.com,3442796237,3672496669,Inactivo,1,40,True,271,5,False,40,22:00:34,00:00:34,Rechazada,2025-11-22,Observación ejemplo,Efectivo,483094.66,DEF453,Moto,True,False,40,62,False,False,40,False,2026-01-08,22:00:34,True,40,Recibo,Descripción ejemplo,2025-10-22 22:00:34.008416,40,9,386,Paquete ejemplo,2025-11-10 22:00:34.008418,2025-11-12 22:00:34.008418,40,Novedad ejemplo,2025-11-10 22:00:34.008421,Obs extra 1,Obs extra 2
41,Luis,García,CE,5295453,luis.garcía@mail.com,3546193513,3200382337,Inactivo,2,41,True,270,10,False,41,22:00:34,00:00:34,Rechazada,2025-11-30,Observación ejemplo,Efectivo,111350.58,XYZ625,Carro,True,True,41,56,False,False,41,True,2025-12-04,22:00:34,True,41,Recibo,Descripción ejemplo,2025-11-16 22:00:34.008450,41,17,332,Paquete ejemplo,2025-11-16 22:00:34.008452,2025-11-19 22:00:34.008452,41,Novedad ejemplo,2025-11-11 22:00:34.008455,Obs extra 1,Obs extra 2
42,Valentina,Vargas,CC,8992545,valentina.vargas@mail.com,3286534387,3391048040,Activo,3,42,True,151,5,True,42,22:00:34,00:00:34,Rechazada,2025-11-26,Observación ejemplo,Transferencia,115135.64,XYZ909,Carro,True,True,42,92,True,False,42,,2025-12-13,22:00:34,True,42,Recibo,Descripción ejemplo,2025-11-07 22:00:34.008485,42,2,490,Paquete ejemplo,2025-11-12 22:00:34.008487,2025-11-15 22:00:34.008487,42,Novedad ejemplo,2025-11-11 22:00:34.008490,Obs extra 1,Obs extra 2
43,Valentina,Pérez,Pasaporte,6201980,valentina.pérez@mail.com,3286993056,3977142815,Activo,2,43,False,423,6,True,43,22:00:34,00:00:34,En espera,2025-12-16,Observación ejemplo,Efectivo,442545.62,GHI942,Moto,False,False,43,18,True,False,43,,2026-01-14,22:00:34,False,43,Recibo,Descripción ejemplo,2025-11-19 22:00:34.008529,43,15,293,Paquete ejemplo,2025-11-10 22:00:34.008533,2025-11-12 22:00:34.008533,43,Novedad ejemplo,2025-11-11 22:00:34.008539,Obs extra 1,Obs extra 2
44,Valentina,Pérez,TI,5839655,valentina.pérez@mail.com,3790889824,3804501714,Activo,3,44,True,385,4,True,44,22:00:34,00:00:34,Rechazada,2025-12-10,Observación ejemplo,Efectivo,313487.95,XYZ964,Carro,True,False,44,84,True,False,44,False,2025-12-20,22:00:34,False,44,Recibo,Descripción ejemplo,2025-10-24 22:00:34.008598,44,11,384,Paquete ejemplo,2025-11-16 22:00:34.008601,2025-11-17 22:00:34.008601,44,Novedad ejemplo,2025-11-17 22:00:34.008609,Obs extra 1,Obs extra 2
45,Diego,López,Pasaporte,5112280,diego.lópez@mail.com,3212117448,3676751014,Activo,2,45,False,341,12,True,45,22:00:34,00:00:34,En espera,2025-12-15,Observación ejemplo,Transferencia,176222.9,ABC668,Moto,False,False,45,97,False,False,45,True,2025-12-18,22:00:34,True,45,Recibo,Descripción ejemplo,2025-11-08 22:00:34.008656,45,2,468,Paquete ejemplo,2025-11-18 22:00:34.008658,2025-11-19 22:00:34.008658,45,Novedad ejemplo,2025-11-19 22:00:34.008668,Obs extra 1,Obs extra 2
46,Diego,López,TI,8293952,diego.lópez@mail.com,3107225241,3536921876,Inactivo,2,46,False,256,20,True,46,22:00:34,00:00:34,Rechazada,2025-11-24,Observación ejemplo,Transferencia,137362.28,XYZ301,Moto,False,True,46,47,False,True,46,,2026-01-05,22:00:34,True,46,Recibo,Descripción ejemplo,2025-11-15 22:00:34.008722,46,6,441,Paquete ejemplo,2025-11-12 22:00:34.008724,2025-11-17 22:00:34.008724,46,Novedad ejemplo,2025-11-07 22:00:34.008727,Obs extra 1,Obs extra 2
47,Juan,Ramírez,CC,4676704,juan.ramírez@mail.com,3100081729,3512024575,Inactivo,2,47,True,179,2,False,47,22:00:34,00:00:34,Rechazada,2025-12-01,Observación ejemplo,Transferencia,288631.99,GHI563,Carro,False,False,47,22,True,True,47,False,2025-11-29,22:00:34,False,47,Recibo,Descripción ejemplo,2025-10-27 22:00:34.008773,47,18,249,Paquete ejemplo,2025-11-11 22:00:34.008777,2025-11-16 22:00:34.008777,47,Novedad ejemplo,2025-11-09 22:00:34.008783,Obs extra 1,Obs extra 2
48,Carlos,García,CC,2276078,carlos.garcía@mail.com,3150641726,3608210970,Inactivo,1,48,False,256,10,False,48,22:00:34,00:00:34,En espera,2025-12-02,Observación ejemplo,Efectivo,184594.47,ABC184,Moto,True,True,48,52,True,False,48,,2025-11-30,22:00:34,False,48,Recibo,Descripción ejemplo,2025-11-02 22:00:34.008818,48,8,386,Paquete ejemplo,2025-11-17 22:00:34.008820,2025-11-22 22:00:34.008820,48,Novedad ejemplo,2025-11-14 22:00:34.008823,Obs extra 1,Obs extra 2
49,Valentina,Vargas,CE,2073361,valentina.vargas@mail.com,3650880828,3349728439,Activo,3,49,True,366,4,True,49,22:00:34,00:00:34,En espera,2025-12-15,Observación ejemplo,Transferencia,86893.4,DEF239,Carro,True,True,49,78,True,False,49,,2025-12-01,22:00:34,False,49,Recibo,Descripción ejemplo,2025-11-02 22:00:34.008870,49,1,275,Paquete ejemplo,2025-11-19 22:00:34.008872,2025-11-21 22:00:34.008872,49,Novedad ejemplo,2025-11-11 22:00:34.008875,Obs extra 1,Obs extra 2
